# AMC Theatres venue map — our flicks.us venue slug -> AMC's own market/theatre slugs.
# GENERATED by data/us/scripts/generate_amc_map.py from AMC's own GraphQL roster
# (viewer.theatres, 523 theatres) joined to data/us/venues.json by coordinates.
# A row exists only where the join was VERIFIED: the AMC theatre is our venue's
# nearest, and either the normalised names agree or it is within 1km with an
# agreeing ZIP. 519 of our 532 AMC venues matched; the 13 that did not are listed
# at the foot of this file and stay on the flicks.us aggregator.
#
# flicksSlug	amcMarketSlug	amcTheatreSlug	theatreId	ourTitle	amcName	rule	km
amc-19th-st-east-6	new-york-city	amc-19th-st-east-6	2112	AMC 19th St. East 6	AMC 19th St. East 6	name+geo	0.03
amc-309-cinema-9-north-wales	philadelphia	amc-309-cinema-9	670	AMC 309 Cinema 9 North Wales	AMC 309 Cinema 9	geo<=1km+zip	0.17
amc-34th-street-14	new-york-city	amc-34th-street-14	2120	AMC 34th Street 14	AMC 34th Street 14	name+geo	0.02
amc-600-north-michigan-9	chicago	amc-600-north-michigan-9	2565	AMC 600 North Michigan 9	AMC 600 North Michigan 9	name+geo	0.04
amc-84th-street-6	new-york-city	amc-84th-street-6	2102	AMC 84th Street 6	AMC 84th Street 6	name+geo	0.02
amc-9co-10-denver	denver	amc-9-co-10	54	AMC 9+CO 10 Denver	AMC 9+CO 10	geo<=1km+zip	0.04
amc-academy-8-greenbelt	washington-d-c	amc-academy-8	365	AMC Academy 8 Greenbelt	AMC Academy 8	geo<=1km+zip	0.2
amc-ahwatukee-24	phoenix	amc-ahwatukee-24	94	AMC Ahwatukee 24	AMC Ahwatukee 24	name+geo	0.07
amc-alderwood-mall-16-lynnwood	seattle-tacoma	amc-alderwood-mall-16	2629	AMC Alderwood Mall 16 Lynnwood	AMC Alderwood Mall 16	geo<=1km+zip	0.03
amc-allegany-8	buffalo	amc-allegany-8	4360	AMC Allegany 8	AMC Allegany 8	name+geo	0.0
amc-altamonte-mall-18	orlando-daytona-beach	amc-altamonte-mall-18	283	AMC Altamonte Mall 18	AMC Altamonte Mall 18	name+geo	0.12
