# Cineworld UK: venue slug -> models.Cinema case object
# Roster: https://cms-assets.webediamovies.pro/prod/cineworld-cinemas/<date>/public/page-data/cinemas/page-data.json
#   (`result.data.page.childPages[].slug`/`.relatedEntity.id`) — the site relaunched
#   2026-09-17 onto Webedia's Gatsby "box office" platform (same one Showcase/Everyman
#   run); the old numeric `quickbook` venue id (chain 10108) is retired along with it.
# Captured 2026-09-18 (87 venues, same 87 Cinema case objects as the old map — matched by
#   venue name/city, one manual fix: "Chichester" -> "Chichester Gate", same venue renamed).
# Columns: slug, theaterId (== slug's leading segment, uppercased — derivable, kept for
#   readability), caseObject, ourDisplayName
g01a4-cineworld-cinema-london-hounslow	G01A4	CineworldLondonHounslow	Cineworld London Hounslow
g01hn-cineworld-cinema-barnsley	G01HN	CineworldBarnsley	Cineworld Barnsley
x06sl-cineworld-cinema-hemel-hempstead	X06SL	CineworldHemelHempstead	Cineworld Hemel Hempstead
x06th-cineworld-cinema-newcastle-upon-tyne	X06TH	CineworldNewcastle	Cineworld Newcastle
x06ur-cineworld-cinema-basildon	X06UR	CineworldBasildon	Cineworld Basildon
x06v1-cineworld-cinema-london-leicester-square	X06V1	CineworldLeicesterSquare	Cineworld Leicester Square
x06wy-cineworld-cinema-ashford	X06WY	CineworldAshford	Cineworld Ashford
x06wz-cineworld-cinema-ashton-under-lyne	X06WZ	CineworldAshtonUnderLyne	Cineworld Ashton-under-Lyne
x06x0-cineworld-cinema-london-bexleyheath	X06X0	CineworldBexleyheath	Cineworld Bexleyheath
x06x2-cineworld-cinema-bradford	X06X2	CineworldBradford	Cineworld Bradford
x06x3-cineworld-cinema-braintree	X06X3	CineworldBraintree	Cineworld Braintree
x06x5-cineworld-cinema-burton-upon-trent	X06X5	CineworldBurtonOnTrent	Cineworld Burton-on-Trent
x06x8-cineworld-cinema-chesterfield	X06X8	CineworldChesterfield	Cineworld Chesterfield
x06x9-cineworld-cinema-chichester-gate	X06X9	CineworldChichester	Cineworld Chichester
x06xa-cineworld-cinema-falkirk	X06XA	CineworldFalkirk	Cineworld Falkirk
x06xb-cineworld-cinema-london-feltham	X06XB	CineworldFeltham	Cineworld Feltham
x06xc-cineworld-cinema-huntingdon	X06XC	CineworldHuntingdon	Cineworld Huntingdon
x06xd-cineworld-cinema-london-ilford	X06XD	CineworldIlford	Cineworld Ilford
x06xe-cineworld-cinema-llandudno	X06XE	CineworldLlandudno	Cineworld Llandudno
x06xf-cineworld-cinema-luton	X06XF	CineworldLuton	Cineworld Luton
x06xg-cineworld-cinema-milton-keynes	X06XG	CineworldMiltonKeynes	Cineworld Milton Keynes
x06xi-cineworld-cinema-rugby	X06XI	CineworldRugby	Cineworld Rugby
x06xk-cineworld-cinema-shrewsbury	X06XK	CineworldShrewsbury	Cineworld Shrewsbury
x06xl-cineworld-cinema-solihull	X06XL	CineworldSolihull	Cineworld Solihull
x06xm-cineworld-cinema-st-helens	X06XM	CineworldStHelens	Cineworld St Helens
x06xn-cineworld-cinema-stevenage	X06XN	CineworldStevenage	Cineworld Stevenage
x06xp-cineworld-cinema-wakefield	X06XP	CineworldWakefield	Cineworld Wakefield
x06xr-cineworld-cinema-wolverhampton	X06XR	CineworldWolverhampton	Cineworld Wolverhampton
x06xs-cineworld-cinema-london-wood-green	X06XS	CineworldWoodGreen	Cineworld Wood Green
x06xt-cineworld-cinema-yeovil	X06XT	CineworldYeovil	Cineworld Yeovil
x06xu-cineworld-cinema-jersey	X06XU	CineworldStHelierJersey	Cineworld St Helier, Jersey
x076w-cineworld-cinema-london-wandsworth	X076W	CineworldWandsworth	Cineworld Wandsworth
x0787-cineworld-cinema-belfast	X0787	CineworldBelfast	Cineworld Belfast
x078j-cineworld-cinema-ipswich	X078J	CineworldIpswich	Cineworld Ipswich
x078m-cineworld-cinema-cardiff	X078M	CineworldCardiff	Cineworld Cardiff
