# Regal (regmovies.com) theatre code -> our Cinema display name.
# Built from Regal's own roster (GET /api/theatres) matched to data/us/venues.json
# by venue coordinates + name tokens, then cross-checked against the theatre slug
# in https://www.regmovies.com/sitemap.xml (/theatres/<slug>-<code>). 394 of 396
# geo matches agreed with the sitemap slug independently; the rest were confirmed
# one by one. Recorded 2026-08-30.
#
# theatreCode	displayName	venueSlug	rosterName	city	state	ianaTimezone
0252	Regal Aiken Mall	regal-aiken-mall	Regal Aiken Mall 8	Aiken	SC	US/Eastern
0939	Regal Alamo Quarry San Antonio	regal-alamo-quarry-san-antonio	Regal Alamo Quarry Stadium 1	San Antonio	TX	US/Central
0833	Regal Albany	regal-albany	Regal Albany 7 Cinemas	Albany	OR	US/Pacific
0909	Regal Alderwood Lynnwood	regal-alderwood-lynnwood	Alderwood Stadium 7 & RPX	Lynnwood	WA	US/Pacific
1933	Regal Aliante	regal-aliante	Aliante Stadium 16 & IMAX	North Las Vegas	NV	US/Pacific
0680	Regal American Mall Lima	regal-american-mall-lima	Regal American Mall Stadium 12	Lima	OH	US/Eastern
0392	Regal Arbor Place Douglasville	regal-arbor-place-douglasville	Arbor Place Stadium 18 & IMAX	Douglasville	GA	US/Eastern
1730	Regal Arnot Mall Horseheads	regal-arnot-mall-horseheads	Regal Arnot Mall 10	Horseheads	NY	US/Eastern
1812	Regal Arroyo Grande	regal-arroyo-grande	Regal Arroyo Grande Stadium 10	Arroyo Grande	CA	US/Pacific
1346	Regal Atlantic Station	regal-atlantic-station	Atlantic Sta Stm 18 IMAX & RPX	Atlanta	GA	US/Eastern
0688	Regal Atlas Park Glendale	regal-atlas-park-glendale	Regal Atlas Park Stadium 8	Glendale	NY	US/Eastern
1823	Regal Auburn California	regal-auburn-california	Regal Auburn Stadium 10	Auburn	CA	US/Pacific
0877	Regal Auburn Washington	regal-auburn-washington	Regal Auburn Stadium 17	Auburn	WA	US/Pacific
1704	Regal Augusta	regal-augusta	Regal Augusta 10	Augusta	ME	US/Eastern
0724	Regal Augusta Exchange	regal-augusta-exchange	Augusta Exchange Stm 20 & IMAX	Augusta	GA	US/Eastern
1694	Regal Avalon Alpharetta	regal-avalon-alpharetta	Regal Avalon 12	Alpharetta	GA	US/Eastern
