brand	apiTheaterId	apiName	matchedScalaCaseObjectName	ourDisplayName
Showcase	X06JH	Showcase Bristol Avonmeads	ShowcaseBristolAvonmeads	Showcase Bristol Avonmeads
Showcase	X06JS	Showcase Cardiff Nantgarw	ShowcaseCinemaCardiff	Showcase Cardiff
Showcase	X06JR	Showcase Cinema de Lux Bluewater	ShowcaseDeLuxBluewater	Showcase de Lux Bluewater
Showcase	X06JI	Showcase Cinema de Lux Coventry	ShowcaseDeLuxCoventry	Showcase de Lux Coventry
Showcase	X08EM	Showcase Cinema de Lux Derby	ShowcaseCinemaDeLuxDerby	Showcase de Lux Derby
Showcase	X06JK	Showcase Cinema de Lux Leeds	ShowcaseDeLuxLeeds	Showcase de Lux Leeds
Showcase	X08NG	Showcase Cinema de Lux Leicester	ShowcaseDeLuxLeicester	Showcase de Lux Leicester
Showcase	X06JU	Showcase Cinema de Lux Liverpool	ShowcaseDeLuxLiverpool	Showcase de Lux Liverpool
Showcase	X06JN	Showcase Cinema de Lux Nottingham	ShowcaseDeLuxNottingham	Showcase de Lux Nottingham
Showcase	X06JO	Showcase Cinema de Lux Peterborough	ShowcaseDeLuxPeterborough	Showcase de Lux Peterborough
Showcase	X06KD	Showcase Cinema de Lux Reading	ShowcaseDeLuxReading	Showcase de Lux Reading
Showcase	X0XV2	Showcase Cinema de Lux Southampton	ShowcaseDeLuxSouthampton	Showcase de Lux Southampton
Showcase	X06JP	Showcase Cinema de Lux Teesside	ShowcaseCinemaDeLuxTeesside	Showcase de Lux Teesside
Showcase	X06JJ	Showcase Dudley	ShowcaseCinemaDudley	Showcase Dudley
Showcase	X06KE	Showcase Glasgow Coatbridge	ShowcaseGlasgowCoatbridge	Showcase Glasgow Coatbridge
Showcase	X06KC	Showcase Glasgow Paisley	ShowcaseDeLuxPaisley	Showcase de Lux Paisley
Everyman	X11DP	Everyman Altrincham	EverymanCinemaAltrincham	Everyman Altrincham
Everyman	G05D7	Everyman At The Whiteley	EverymanAtTheWhiteleyLondon	Everyman at The Whiteley London
